No,username,Date,cleaned_tweets
65,surface,2020-06-23 23:01:59,@DarrenAlexand Hi Darren. Learn more about Surface power supplies and charging requirements here: https://t.co/7ZvxWtncQV
66,MS_ITPro,2020-06-23 23:00:20,Test your #AzureMigration readiness with the SMART tool so your team can go forward together with confidence. Start… https://t.co/zI2veszyjp
67,msftfinserv,2020-06-23 23:00:08,Did you miss the Microsoft Envision Forum for Financial Services series?Get the recap: https://t.co/k6EXINEnoA https://t.co/sU5XSb6Nvv
68,MSFTDynamics365,2020-06-23 23:00:06,Find out why 75% of business leaders believe #AI will revolutionize their companies in the next three years. Learn… https://t.co/IKITa3lFQS
69,Outlook,2020-06-23 23:00:02,🌈 Show your colors with the special theme inspired by the rainbow flag of the LGBTQI+ community. 🌈 Now available… https://t.co/fJV7HNWBu0
70,MSCloud,2020-06-23 23:00:01,Join us on June 30 at 11:30 AM PT for an interactive session that will focus on Microsoft #Azure Active Directory a… https://t.co/ByitmTyo44
71,MSFTGameStack,2020-06-23 23:00:00,Now in public preview #CloudScript using Azure Functions with more languages (like C#) and local debugging in Visu… https://t.co/n00fsGthnH
72,Azure,2020-06-23 23:00:00,Trying to make your website's performance more consistent for farther away users but want to avoid putting an enti… https://t.co/GqPYuTHtVt
73,MSPowerBI,2020-06-23 23:00:00,Experience unmatched time to insight with #AzureSynapseAnalytics and discover how you can get:▫ Limitless scale▫… https://t.co/SNm10CegYX
74,windowsserver,2020-06-23 23:00:00,Discover what’s new in #SQLServer 2019—unlock faster querying speeds take advantage of improved security features… https://t.co/t3C0YowwXJ
75,SQLServer,2020-06-23 23:00:00,Find out how you can take advantage of offers and tools to maximize your efficiency. Here are five tips to help you… https://t.co/7FxxdPDXaA
76,MSdevIRL,2020-06-23 23:00:00,Improving Productivity With #Devops And Microsoft #Teams https://t.co/Hpzne4VPGK #MSDevIRL #Azure #Developers
77,msftsecurity,2020-06-23 23:00:00,Azure Security Center discovered a new campaign that targets Kubeflow a machine learning toolkit for #Kubernetes.… https://t.co/iC6JhLttmP
78,shimejimeshi,2020-06-23 22:59:24,S&amp;P500 +0.43%Russell2000 +0.41%SOX +0.22%DJT +1.32%HYG +0.14%STOXX600 +1.30%DAX +2.13%FTSE +1.21%FB +1.26%… https://t.co/TCKuZ7tX10
